,title,year_published,min_players,max_players,play_time,pt_min,pt_max,age,categories,mechanics,subdomain,num_honors
224517,Brass: Birmingham,2018,2,4,120,60,120,14,"['Economic', 'Industry / Manufacturing', 'Post-Napoleonic', 'Trains', 'Transportation']","['Hand Management', 'Income', 'Loans', 'Market', 'Network and Route Building', 'Tags', 'Tech Trees / Tech Tracks', 'Turn Order: Stat-Based', 'Variable Set-up']",Strategy Games,20
161936,Pandemic Legacy: Season 1,2015,2,4,60,60,60,13,"['Environmental', 'Medical']","['Action Points', 'Cooperative Game', 'Hand Management', 'Legacy Game', 'Point to Point Movement', 'Scenario / Mission / Campaign Game', 'Set Collection', 'Tags', 'Trading', 'Variable Player Powers']",Strategy Games,30
174430,Gloomhaven,2017,1,4,120,60,120,14,"['Adventure', 'Exploration', 'Fantasy', 'Fighting', 'Miniatures']","['Action Queue', 'Action Retrieval', 'Campaign / Battle Card Driven', 'Card Play Conflict Resolution', 'Communication Limits', 'Cooperative Game', 'Critical Hits and Failures', 'Deck Construction', 'Grid Movement', 'Hand Management', 'Hexagon Grid', 'Legacy Game', 'Line of Sight', 'Modular Board', 'Once-Per-Game Abilities', 'Role Playing', 'Scenario / Mission / Campaign Game', 'Simultaneous Action Selection', 'Solo / Solitaire Game', 'Tags', 'Variable Player Powers']",Strategy Games,30
342942,Ark Nova,2021,1,4,150,90,150,14,"['Animals', 'Economic', 'Environmental']","['End Game Bonuses', 'Hand Management', 'Hexagon Grid', 'Income', 'Increase Value of Unchosen Resources', 'Open Drafting', 'Set Collection', 'Solo / Solitaire Game', 'Tags', 'Tile Placement', 'Variable Player Powers', 'Variable Set-up']",Strategy Games,16
233078,Twilight Imperium: Fourth Edition,2017,3,6,480,240,480,14,"['Civilization', 'Economic', 'Exploration', 'Negotiation', 'Political', 'Science Fiction', 'Space Exploration', 'Wargame']","['Action Drafting', 'Area Majority / Influence', 'Area-Impulse', 'Dice Rolling', 'Follow', 'Grid Movement', 'Hexagon Grid', 'Increase Value of Unchosen Resources', 'King of the Hill', 'Modular Board', 'Race', 'Tech Trees / Tech Tracks', 'Trading', 'Variable Phase Order', 'Variable Player Powers', 'Variable Set-up', 'Voting']",Strategy Games,2
167791,Terraforming Mars,2016,1,5,120,120,120,12,"['Economic', 'Environmental', 'Industry / Manufacturing', 'Science Fiction', 'Space Exploration', 'Territory Building']","['Closed Drafting', 'Contracts', 'Enclosure', 'End Game Bonuses', 'Hand Management', 'Hexagon Grid', 'Income', 'Set Collection', 'Solo / Solitaire Game', 'Tags', 'Take That', 'Tech Trees / Tech Tracks', 'Tile Placement', 'Turn Order: Progressive', 'Variable Player Powers', 'Variable Set-up', 'Victory Points as a Resource']",Strategy Games,40
291457,Gloomhaven: Jaws of the Lion,2020,1,4,120,30,120,14,"['Adventure', 'Exploration', 'Fantasy', 'Fighting', 'Miniatures']","['Action Queue', 'Action Retrieval', 'Campaign / Battle Card Driven', 'Communication Limits', 'Cooperative Game', 'Critical Hits and Failures', 'Deck Construction', 'Grid Movement', 'Hand Management', 'Hexagon Grid', 'Legacy Game', 'Line of Sight', 'Once-Per-Game Abilities', 'Scenario / Mission / Campaign Game', 'Simultaneous Action Selection', 'Solo / Solitaire Game', 'Variable Player Powers']",Strategy Games,18
115746,War of the Ring: Second Edition,2011,2,4,180,150,180,13,"['Adventure', 'Fantasy', 'Fighting', 'Novel-based', 'Territory Building', 'Wargame']","['Area Majority / Influence', 'Area Movement', 'Campaign / Battle Card Driven', 'Card Play Conflict Resolution', 'Dice Rolling', 'Events', 'Hand Management', 'Hidden Movement', 'Movement Points', 'Simulation', 'Team-Based Game', 'Variable Set-up']",Thematic Games,0
187645,Star Wars: Rebellion,2016,2,4,240,180,240,14,"['Civil War', 'Miniatures', 'Movies / TV / Radio theme', 'Science Fiction', 'Space Exploration', 'Wargame']","['Area Majority / Influence', 'Area Movement', 'Area-Impulse', 'Card Play Conflict Resolution', 'Contracts', 'Delayed Purchase', 'Dice Rolling', 'Die Icon Resolution', 'Events', 'Hand Management', 'Hidden Movement', 'Income', 'Once-Per-Game Abilities', 'Tags', 'Take That', 'Team-Based Game', 'Variable Player Powers', 'Variable Set-up', 'Worker Placement, Different Worker Types']",Thematic Games,17
316554,Dune: Imperium,2020,1,4,120,60,120,14,"['Movies / TV / Radio theme', 'Novel-based', 'Political', 'Science Fiction']","['Card Play Conflict Resolution', 'Deck, Bag, and Pool Building', 'Delayed Purchase', 'Force Commitment', 'Increase Value of Unchosen Resources', 'Multi-Use Cards', 'Open Drafting', 'Solo / Solitaire Game', 'Tags', 'Take That', 'Turn Order: Progressive', 'Variable Player Powers', 'Worker Placement']",Strategy Games,23
162886,Spirit Island,2017,1,4,120,90,120,13,"['Fantasy', 'Fighting', 'Mythology', 'Territory Building']","['Action Retrieval', 'Area Majority / Influence', 'Automatic Resource Growth', 'Campaign / Battle Card Driven', 'Cooperative Game', 'Hand Management', 'Modular Board', 'Set Collection', 'Simultaneous Action Selection', 'Solo / Solitaire Game', 'Tags', 'Variable Player Powers', 'Variable Set-up']",Strategy Games,15
220308,Gaia Project,2017,1,4,150,60,150,12,"['Civilization', 'Economic', 'Miniatures', 'Science Fiction', 'Space Exploration', 'Territory Building']","['End Game Bonuses', 'Hexagon Grid', 'Income', 'Modular Board', 'Network and Route Building', 'Solo / Solitaire Game', 'Tags', 'Tech Trees / Tech Tracks', 'Turn Order: Pass Order', 'Variable Player Powers', 'Variable Set-up', 'Victory Points as a Resource']",Strategy Games,14
182028,Through the Ages: A New Story of Civilization,2015,2,4,120,120,120,14,"['Card Game', 'Civilization', 'Economic']","['Action Points', 'Auction/Bidding', 'Auction: Dutch', 'Events', 'Income', 'Open Drafting', 'Take That']",Strategy Games,3
12333,Twilight Struggle,2005,2,2,180,120,180,13,"['Modern Warfare', 'Political', 'Wargame']","['Action/Event', 'Advantage Token', 'Area Majority / Influence', 'Campaign / Battle Card Driven', 'Dice Rolling', 'Events', 'Hand Management', 'Simulation', 'Simultaneous Action Selection', 'Sudden Death Ending', 'Tug of War']",Strategy Games,13
193738,Great Western Trail,2016,2,4,150,75,150,12,"['American West', 'Animals', 'Economic']","['Deck, Bag, and Pool Building', 'Hand Management', 'Ownership', 'Set Collection', 'Track Movement', 'Variable Set-up']",Strategy Games,30
169786,Scythe,2016,1,5,115,90,115,14,"['Economic', 'Fighting', 'Science Fiction', 'Territory Building']","['Card Play Conflict Resolution', 'Contracts', 'End Game Bonuses', 'Force Commitment', 'Grid Movement', 'Hexagon Grid', 'King of the Hill', 'Movement Points', 'Solo / Solitaire Game', 'Take That', 'Tech Trees / Tech Tracks', 'Variable Player Powers', 'Variable Set-up', 'Victory Points as a Resource', 'Zone of Control']",Strategy Games,33
84876,The Castles of Burgundy,2011,2,4,90,30,90,12,"['Dice', 'Medieval', 'Territory Building']","['Dice Rolling', 'End Game Bonuses', 'Grid Coverage', 'Hexagon Grid', 'Pattern Building', 'Tile Placement', 'Turn Order: Stat-Based', 'Variable Set-up', 'Worker Placement with Dice Workers']",Strategy Games,14
173346,7 Wonders Duel,2015,2,2,30,30,30,10,"['Ancient', 'Card Game', 'City Building', 'Civilization', 'Economic']","['End Game Bonuses', 'Income', 'Layering', 'Market', 'Modular Board', 'Multi-Use Cards', 'Once-Per-Game Abilities', 'Open Drafting', 'Set Collection', 'Sudden Death Ending', 'Tags', 'Tech Trees / Tech Tracks', 'Tug of War', 'Variable Player Powers', 'Variable Set-up', 'Victory Points as a Resource']",Strategy Games,24
167355,Nemesis,2018,1,5,180,90,180,12,"['Adventure', 'Horror', 'Miniatures', 'Science Fiction']","['Campaign / Battle Card Driven', 'Cooperative Game', 'Dice Rolling', 'Hand Management', 'Hidden Roles', 'Modular Board', 'Player Elimination', 'Semi-Cooperative Game', 'Solo / Solitaire Game', 'Team-Based Game', 'Traitor Game', 'Variable Player Powers']",Thematic Games,11
28720,Brass: Lancashire,2007,2,4,120,60,120,14,"['Economic', 'Industry / Manufacturing', 'Post-Napoleonic', 'Transportation']","['Hand Management', 'Income', 'Loans', 'Market', 'Network and Route Building', 'Tech Trees / Tech Tracks', 'Turn Order: Stat-Based']",Strategy Games,7
124361,Concordia,2013,2,5,100,100,100,13,"['Ancient', 'Economic', 'Nautical']","['Action Retrieval', 'Advantage Token', 'Auction: Dutch', 'Deck, Bag, and Pool Building', 'End Game Bonuses', 'Hand Management', 'Hidden Victory Points', 'Movement Points', 'Open Drafting', 'Point to Point Movement', 'Set Collection', 'Variable Set-up']",Strategy Games,11
246900,Eclipse: Second Dawn for the Galaxy,2020,2,6,200,60,200,14,"['Civilization', 'Science Fiction', 'Space Exploration', 'Wargame']","['Alliances', 'Area-Impulse', 'Dice Rolling', 'Grid Movement', 'Hexagon Grid', 'Income', 'Modular Board', 'Passed Action Token', 'Tech Trees / Tech Tracks', 'Variable Player Powers']",Strategy Games,4
177736,A Feast for Odin,2016,1,4,120,30,120,12,"['Economic', 'Farming', 'Industry / Manufacturing', 'Medieval', 'Puzzle']","['Automatic Resource Growth', 'Dice Rolling', 'Grid Coverage', 'Income', 'Push Your Luck', 'Solo / Solitaire Game', 'Tile Placement', 'Turn Order: Pass Order', 'Worker Placement']",Strategy Games,9
266507,Clank!: Legacy – Acquisitions Incorporated,2019,2,4,120,90,120,13,"['Adventure', 'Fantasy', 'Miniatures']","['Deck, Bag, and Pool Building', 'Delayed Purchase', 'End Game Bonuses', 'Events', 'Legacy Game', 'Map Addition', 'Movement Points', 'Narrative Choice / Paragraph', 'Once-Per-Game Abilities', 'Open Drafting', 'Pick-up and Deliver', 'Player Elimination', 'Point to Point Movement', 'Push Your Luck', 'Scenario / Mission / Campaign Game', 'Set Collection', 'Variable Player Powers', 'Variable Set-up']",Thematic Games,3
266192,Wingspan,2019,1,5,70,40,70,10,"['Animals', 'Card Game', 'Educational']","['Contracts', 'Dice Rolling', 'End Game Bonuses', 'Hand Management', 'Once-Per-Game Abilities', 'Open Drafting', 'Set Collection', 'Solo / Solitaire Game', 'Turn Order: Progressive']",Family Games,42
120677,Terra Mystica,2012,2,5,150,60,150,12,"['Civilization', 'Economic', 'Fantasy', 'Territory Building']","['End Game Bonuses', 'Hexagon Grid', 'Income', 'Increase Value of Unchosen Resources', 'Network and Route Building', 'Tech Trees / Tech Tracks', 'Turn Order: Pass Order', 'Variable Player Powers', 'Variable Set-up', 'Victory Points as a Resource']",Strategy Games,29
205637,Arkham Horror: The Card Game,2016,1,2,120,60,120,14,"['Adventure', 'Card Game', 'Collectible Components', 'Exploration', 'Horror', 'Novel-based']","['Action Points', 'Area Movement', 'Communication Limits', 'Cooperative Game', 'Deck Construction', 'Events', 'Hand Management', 'Map Deformation', 'Modular Board', 'Push Your Luck', 'Role Playing', 'Scenario / Mission / Campaign Game', 'Solo / Solitaire Game', 'Stat Check Resolution', 'Variable Player Powers']",Customizable Games,15
237182,Root,2018,2,4,90,60,90,10,"['Animals', 'Fantasy', 'Wargame']","['Action Queue', 'Action Retrieval', 'Area Majority / Influence', 'Area Movement', 'Dice Rolling', 'Hand Management', 'Point to Point Movement', 'Race', 'Sudden Death Ending', 'Variable Player Powers', 'Variable Set-up']",Strategy Games,35
312484,Lost Ruins of Arnak,2020,1,4,120,30,120,12,"['Adventure', 'Exploration', 'Travel']","['Contracts', 'Deck, Bag, and Pool Building', 'Market', 'Multi-Use Cards', 'Once-Per-Game Abilities', 'Resource to Move', 'Solo / Solitaire Game', 'Turn Order: Progressive', 'Worker Placement']",Family Games,31
164928,Orléans,2014,2,4,90,90,90,12,"['Medieval', 'Religious', 'Travel']","['Contracts', 'Deck, Bag, and Pool Building', 'End Game Bonuses', 'Events', 'Point to Point Movement', 'Simultaneous Action Selection', 'Tech Trees / Tech Tracks', 'Turn Order: Progressive', 'Variable Set-up']",Strategy Games,18
199792,Everdell,2018,1,4,80,40,80,13,"['Animals', 'Card Game', 'City Building', 'Fantasy']","['Contracts', 'End Game Bonuses', 'Hand Management', 'Income', 'Open Drafting', 'Ownership', 'Set Collection', 'Solo / Solitaire Game', 'Variable Set-up', 'Worker Placement']",Family Games,20
183394,Viticulture Essential Edition,2015,1,6,90,45,90,13,"['Economic', 'Farming']","['Contracts', 'Hand Management', 'Solo / Solitaire Game', 'Turn Order: Auction', 'Victory Points as a Resource', 'Worker Placement', 'Worker Placement, Different Worker Types']",Strategy Games,1
96848,Mage Knight Board Game,2011,1,4,240,60,240,14,"['Adventure', 'Exploration', 'Fantasy', 'Fighting']","['Card Play Conflict Resolution', 'Cooperative Game', 'Deck, Bag, and Pool Building', 'Dice Rolling', 'Grid Movement', 'Hand Management', 'Hexagon Grid', 'Modular Board', 'Open Drafting', 'Role Playing', 'Solo / Solitaire Game', 'Variable Player Powers']",Strategy Games,12
251247,Barrage,2019,1,4,120,60,120,14,"['Economic', 'Environmental', 'Industry / Manufacturing']","['Action Retrieval', 'Contracts', 'End Game Bonuses', 'Income', 'Network and Route Building', 'Ownership', 'Solo / Solitaire Game', 'Turn Order: Stat-Based', 'Variable Player Powers', 'Variable Set-up', 'Worker Placement']",Strategy Games,25
