,title,rating,year_published,min_players,max_players,play_time,pt_min,pt_max,age,complexity,categories,mechanics,subdomain,num_honors
224517,Brass: Birmingham,8.42563,2018,2,4,120,60,120,14,3.8983,"['Economic', 'Industry / Manufacturing', 'Post-Napoleonic', 'Trains', 'Transportation']","['Hand Management', 'Income', 'Loans', 'Market', 'Network and Route Building', 'Tags', 'Tech Trees / Tech Tracks', 'Turn Order: Stat-Based', 'Variable Set-up']",Strategy Games,20
161936,Pandemic Legacy: Season 1,8.39418,2015,2,4,60,60,60,13,2.8321,"['Environmental', 'Medical']","['Action Points', 'Cooperative Game', 'Hand Management', 'Legacy Game', 'Point to Point Movement', 'Scenario / Mission / Campaign Game', 'Set Collection', 'Tags', 'Trading', 'Variable Player Powers']",Strategy Games,30
174430,Gloomhaven,8.39299,2017,1,4,120,60,120,14,3.8918,"['Adventure', 'Exploration', 'Fantasy', 'Fighting', 'Miniatures']","['Action Queue', 'Action Retrieval', 'Campaign / Battle Card Driven', 'Card Play Conflict Resolution', 'Communication Limits', 'Cooperative Game', 'Critical Hits and Failures', 'Deck Construction', 'Grid Movement', 'Hand Management', 'Hexagon Grid', 'Legacy Game', 'Line of Sight', 'Modular Board', 'Once-Per-Game Abilities', 'Role Playing', 'Scenario / Mission / Campaign Game', 'Simultaneous Action Selection', 'Solo / Solitaire Game', 'Tags', 'Variable Player Powers']",Strategy Games,30
342942,Ark Nova,8.29745,2021,1,4,150,90,150,14,3.7215,"['Animals', 'Economic', 'Environmental']","['End Game Bonuses', 'Hand Management', 'Hexagon Grid', 'Income', 'Increase Value of Unchosen Resources', 'Open Drafting', 'Set Collection', 'Solo / Solitaire Game', 'Tags', 'Tile Placement', 'Variable Player Powers', 'Variable Set-up']",Strategy Games,16
233078,Twilight Imperium: Fourth Edition,8.24102,2017,3,6,480,240,480,14,4.3027,"['Civilization', 'Economic', 'Exploration', 'Negotiation', 'Political', 'Science Fiction', 'Space Exploration', 'Wargame']","['Action Drafting', 'Area Majority / Influence', 'Area-Impulse', 'Dice Rolling', 'Follow', 'Grid Movement', 'Hexagon Grid', 'Increase Value of Unchosen Resources', 'King of the Hill', 'Modular Board', 'Race', 'Tech Trees / Tech Tracks', 'Trading', 'Variable Phase Order', 'Variable Player Powers', 'Variable Set-up', 'Voting']",Strategy Games,2
167791,Terraforming Mars,8.2366,2016,1,5,120,120,120,12,3.2566,"['Economic', 'Environmental', 'Industry / Manufacturing', 'Science Fiction', 'Space Exploration', 'Territory Building']","['Closed Drafting', 'Contracts', 'Enclosure', 'End Game Bonuses', 'Hand Management', 'Hexagon Grid', 'Income', 'Set Collection', 'Solo / Solitaire Game', 'Tags', 'Take That', 'Tech Trees / Tech Tracks', 'Tile Placement', 'Turn Order: Progressive', 'Variable Player Powers', 'Variable Set-up', 'Victory Points as a Resource']",Strategy Games,40
291457,Gloomhaven: Jaws of the Lion,8.2117,2020,1,4,120,30,120,14,3.6285,"['Adventure', 'Exploration', 'Fantasy', 'Fighting', 'Miniatures']","['Action Queue', 'Action Retrieval', 'Campaign / Battle Card Driven', 'Communication Limits', 'Cooperative Game', 'Critical Hits and Failures', 'Deck Construction', 'Grid Movement', 'Hand Management', 'Hexagon Grid', 'Legacy Game', 'Line of Sight', 'Once-Per-Game Abilities', 'Scenario / Mission / Campaign Game', 'Simultaneous Action Selection', 'Solo / Solitaire Game', 'Variable Player Powers']",Strategy Games,18
115746,War of the Ring: Second Edition,8.1685,2011,2,4,180,150,180,13,4.2004,"['Adventure', 'Fantasy', 'Fighting', 'Novel-based', 'Territory Building', 'Wargame']","['Area Majority / Influence', 'Area Movement', 'Campaign / Battle Card Driven', 'Card Play Conflict Resolution', 'Dice Rolling', 'Events', 'Hand Management', 'Hidden Movement', 'Movement Points', 'Simulation', 'Team-Based Game', 'Variable Set-up']",Thematic Games,0
187645,Star Wars: Rebellion,8.16594,2016,2,4,240,180,240,14,3.7359,"['Civil War', 'Miniatures', 'Movies / TV / Radio theme', 'Science Fiction', 'Space Exploration', 'Wargame']","['Area Majority / Influence', 'Area Movement', 'Area-Impulse', 'Card Play Conflict Resolution', 'Contracts', 'Delayed Purchase', 'Dice Rolling', 'Die Icon Resolution', 'Events', 'Hand Management', 'Hidden Movement', 'Income', 'Once-Per-Game Abilities', 'Tags', 'Take That', 'Team-Based Game', 'Variable Player Powers', 'Variable Set-up', 'Worker Placement, Different Worker Types']",Thematic Games,17
316554,Dune: Imperium,8.15558,2020,1,4,120,60,120,14,3.018,"['Movies / TV / Radio theme', 'Novel-based', 'Political', 'Science Fiction']","['Card Play Conflict Resolution', 'Deck, Bag, and Pool Building', 'Delayed Purchase', 'Force Commitment', 'Increase Value of Unchosen Resources', 'Multi-Use Cards', 'Open Drafting', 'Solo / Solitaire Game', 'Tags', 'Take That', 'Turn Order: Progressive', 'Variable Player Powers', 'Worker Placement']",Strategy Games,23
